title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Cell 211",movie,"Action, Crime, Drama",2009,tt1242422,7.6,71545,US
Unspeakable,movie,"Horror, Thriller",2002,tt0277412,3.6,1528,US
Camp,movie,"Comedy, Drama, Musical",2003,tt0342167,6.2,6235,US
"Notte prima degli esami",movie,Comedy,2006,tt0772187,6.4,5480,IT
"Maa Nanna Chiranjeevi",movie,Family,2010,tt1582539,5.3,53,"IN, US"
Stagecoach,movie,"Drama, Western",1986,tt0092003,5.8,1463,US
Helen,movie,Drama,2008,tt1288589,5.8,480,GB
"A Snake of June",movie,"Drama, Horror, Mystery",2002,tt0330904,6.8,5409,GB
Shalimar,movie,"Action, Adventure, Crime",1978,tt0078241,6.3,643,"AU, IN, US"
"Dance with Me, Henry",movie,Comedy,1956,tt0049120,5.6,928,US
Alligator,movie,"Horror, Sci-Fi, Thriller",1980,tt0080354,6.1,16745,"AU, CA, US"
"The Noose Hangs High",movie,Comedy,1948,tt0040652,6.6,1202,US
"The Siege of Firebase Gloria",movie,"Action, Drama, War",1988,tt0098328,6.8,3435,US
Ishqiya,movie,"Comedy, Drama, Romance",2010,tt1345777,7.3,11053,IN
"White Night Wedding",movie,"Comedy, Drama",2008,tt1114712,6.6,1459,US
"It Takes Two",movie,"Comedy, Family, Romance",1995,tt0113442,5.9,25565,US
"Paris Blues",movie,"Drama, Music, Romance",1961,tt0055278,6.7,4055,US
"A Hole in the Head",movie,"Comedy, Drama",1959,tt0052896,6.2,2932,US
"Pressure Point",movie,Drama,1962,tt0056370,7.1,2151,US
"Beyond the Door III",movie,"Fantasy, Horror",1989,tt0096920,5.2,1611,"CA, US"
"Criminal Lovers",movie,"Crime, Drama, Horror",1999,tt0205735,6.4,4579,DE
"Merry Christmas, Drake & Josh",movie,"Comedy, Family",2008,tt1249300,6.7,4600,CA
Mammoth,movie,"Drama, Romance",2009,tt1038043,6.8,10543,"CA, US"
"Desert Flower",movie,"Biography, Drama",2009,tt1054580,7.3,14476,"AT, CH, DE"
"Turtles Forever",movie,"Action, Adventure, Animation",2009,tt1543920,7.6,4633,CA
"The Appaloosa",movie,"Action, Drama, Romance",1966,tt0060120,6.2,3667,US
"She's Out of My League",movie,"Comedy, Romance",2010,tt0815236,6.4,147441,"AT, CH, FR, GB, IE, IT"
"One Day in September",movie,"Documentary, History, Sport",1999,tt0230591,7.8,6308,US
"The Giant Gila Monster",movie,"Horror, Sci-Fi, Thriller",1959,tt0052846,3.7,4453,"CA, US"
"The Screaming Skull",movie,"Horror, Thriller",1958,tt0052169,3.9,4062,US
"Hollywood Shuffle",movie,Comedy,1987,tt0093200,6.9,6531,US
Crooklyn,movie,"Comedy, Drama",1994,tt0109504,7,11568,US
"Larger Than Life",movie,"Comedy, Family",1996,tt0116823,5.6,7970,US
Magic,movie,"Drama, Horror",1978,tt0077889,6.8,14128,US
Vamp,movie,"Comedy, Fantasy, Horror",1986,tt0092147,5.9,7409,"CA, US"
Beautiful,movie,"Comedy, Drama",2000,tt0210567,5.6,4360,US
"Sleepaway Camp II: Unhappy Campers",movie,"Comedy, Horror",1988,tt0096118,5.5,13872,US
"Sleepaway Camp III: Teenage Wasteland",movie,"Comedy, Horror",1989,tt0096119,5,9758,US
Turbulence,movie,"Action, Thriller",1997,tt0120390,5,12909,"AT, CH, DE, FR, GB, IE, IT"
"The Woman in Green",movie,"Crime, Drama, Horror",1945,tt0038259,6.6,7069,US
"Mannequin: On the Move",movie,"Comedy, Fantasy, Romance",1991,tt0102395,4.4,7009,US
"Funeral in Berlin",movie,Thriller,1966,tt0060437,6.8,7963,"AT, CH, DE, FR, GB, IE, IT"
"The National Tree",movie,Drama,2009,tt1420568,5.9,663,US
"'Sheba, Baby'",movie,"Action, Crime, Drama",1975,tt0073697,5.6,1883,US
"The Descent: Part 2",movie,"Adventure, Horror, Thriller",2009,tt1073105,5.7,52805,FR
Storage,movie,"Crime, Thriller",2009,tt1223893,5.6,773,"CA, US"
"Enter the Void",movie,"Drama, Fantasy",2009,tt1191111,7.2,89863,"FR, US"
"A Single Man",movie,"Crime, Drama, Romance",2009,tt1315981,7.5,119189,CA
"Chestnut: Hero of Central Park",movie,"Comedy, Drama, Family",2004,tt0387925,5.8,1549,US
"The Barefoot Contessa",movie,"Crime, Drama, Mystery",1954,tt0046754,6.9,13062,"BR, CL, CO, MX"
"Stir of Echoes: The Homecoming",movie,"Horror, Mystery, Thriller",2007,tt0805619,4.5,2481,IN
"Death Wish: The Face of Death",movie,"Action, Crime, Drama",1994,tt0109578,4.9,9146,"BR, CL, CO, MX, US"
"Death at a Funeral",movie,"Comedy, Drama",2010,tt1321509,5.7,54513,US
"The Losers",movie,"Action, Adventure, Comedy",2010,tt0480255,6.2,108346,GB
"Slovenian Girl",movie,Drama,2009,tt1224373,6.2,3376,GB
Gumshoe,movie,"Comedy, Crime, Drama",1971,tt0068669,6.4,1836,AU
"The Addiction",movie,"Drama, Horror",1995,tt0112288,6.4,11939,CA
"Nanny McPhee Returns",movie,"Comedy, Family, Fantasy",2010,tt1415283,6.1,37922,AU
"Sanshiro Sugata",movie,"Action, Adventure, Drama",1943,tt0036400,6.7,5786,GB
"The Milky Way",movie,"Comedy, Drama",1969,tt0066534,7.3,8226,DE
"Russell Brand in New York City",movie,"Comedy, Documentary",2009,tt1440756,6.4,472,FR
Cracks,movie,"Drama, Mystery, Thriller",2009,tt1183665,6.6,21355,"AU, US"
"Just Married: Marriage Was Only the Beginning!",movie,"Comedy, Drama, Romance",2007,tt0785004,5.4,587,IN
"Pray for Death",movie,"Action, Crime, Drama",1985,tt0089835,5.7,2268,US
"Furry Vengeance",movie,"Comedy, Family",2010,tt0492389,3.9,18534,IN
Restoration,movie,"Biography, Drama, History",1995,tt0114272,6.6,10045,"AT, CH, DE, FR, GB, IE, IT"
"The Return of a Man Called Horse",movie,"Drama, Western",1976,tt0075132,6.1,2082,"BR, CL, CO, MX"
"Charlie Murphy: I Will Not Apologize",movie,"Comedy, Documentary",2010,tt1441941,5.6,160,US
"Christmas Carol: The Movie",movie,"Animation, Family, Fantasy",2001,tt0259929,5.3,2207,US
"Three Blind Mice",movie,"Comedy, Drama",2008,tt1239388,6.1,406,US
"Mummies: Secrets of the Pharaohs",movie,"Biography, Documentary, Drama",2007,tt0922522,6.4,372,"GB, US"
"Bunny and the Bull",movie,"Comedy, Drama",2009,tt1251725,6.6,5164,US
Icarus,movie,"Action, Thriller",2010,tt1261862,5.1,4397,US
"Fatal Beauty",movie,"Action, Comedy, Crime",1987,tt0093011,5.4,4171,US
"Carman: The Champion",movie,"Action, Drama, Sport",2001,tt0262462,5.3,853,US
"Jo Koy: Don't Make Him Angry",movie,Comedy,2009,tt1340588,6.7,359,US
"Trace of Stones",movie,"Comedy, Drama, Romance",1966,tt0061017,7.4,1010,DE
"Dr. Caligari",movie,"Comedy, Horror, Sci-Fi",1989,tt0097228,6.1,1717,"AU, CA, US"
"Gold Diggers: The Secret of Bear Mountain",movie,"Adventure, Drama, Family",1995,tt0113188,6,5104,US
"Cooley High",movie,"Comedy, Drama, Romance",1975,tt0072820,7.1,5699,US
"Thunderbirds Are GO",movie,"Action, Adventure, Drama",1966,tt0061094,6.4,2653,US
"The Most Wonderful Time of the Year",movie,"Comedy, Drama, Family",2008,tt1327788,7.3,5056,US
Tristana,movie,Drama,1970,tt0066491,7.4,13078,DE
"Glorious 39",movie,"Drama, History, Mystery",2009,tt1319694,6.4,5749,"AU, GB"
"The End",movie,"Comedy, Drama",1978,tt0077504,6.1,4493,US
"Pumpkinhead II: Blood Wings",movie,"Fantasy, Horror, Thriller",1993,tt0110913,4.6,5494,US
Walkabout,movie,"Adventure, Drama",1971,tt0067959,7.6,27966,"AU, GB"
"Stanley & Iris",movie,"Drama, Romance",1990,tt0100680,6.3,8718,US
"The Swindle",movie,"Comedy, Crime, Drama",1955,tt0047876,7.5,7216,DE
"Deadly Impact",movie,"Action, Crime, Thriller",2010,tt1082577,5.2,2710,"CL, CO, MX, US"
Bigfoot,movie,"Adventure, Family",2009,tt1294144,4.3,398,US
"Goodbye, Mr. Chips",movie,Drama,2002,tt0327804,7.4,1026,NO
"The Go-Between",movie,"Drama, Romance",1971,tt0067144,7.2,6608,GB
"No Smoking",movie,"Drama, Horror, Mystery",2007,tt0995740,7.3,9335,US
Posse,movie,Western,1993,tt0107863,5.5,4980,BR
"Diary of a Chambermaid",movie,"Crime, Drama",1964,tt0058249,7.4,9937,DE
"The Wayward Cloud",movie,"Comedy, Drama, Musical",2005,tt0445760,6.5,5753,GB
After.Life,movie,"Drama, Mystery, Thriller",2009,tt0838247,5.9,41794,US
"Carnal Knowledge",movie,"Comedy, Drama",1971,tt0066892,6.9,15329,DE
"The Prince & Me: The Elephant Adventure",movie,"Action, Adventure, Comedy",2010,tt1340161,4.6,1443,US
Metamorphosis,movie,"Horror, Sci-Fi",1990,tt0097874,4,1157,"AU, US"
"Casino Royale",movie,"Action, Adventure, Thriller",2006,tt0381061,8,706890,US
Paulie,movie,"Adventure, Comedy, Drama",1998,tt0125454,6.5,16544,"AT, CH, DE, FR, GB, IE, IT"
"The Dirty Dozen: The Deadly Mission",movie,"Action, War",1987,tt0092891,5.2,1266,US
"The Dirty Dozen: The Fatal Mission",movie,"Action, Adventure, War",1988,tt0095022,5,1374,US
"Curse of the Pink Panther",movie,"Comedy, Crime, Mystery",1983,tt0085384,4.3,6836,"BR, CL, CO, MX"
